	feature	importance	normalized_importance	cumulative_importance
0	nottingham_prognostic_index	0.05110079153759208	0.051100791537592095	0.051100791537592095
1	tumor_size	0.029718620559469645	0.029718620559469652	0.08081941209706175
2	flt3	0.02492426659704671	0.024924266597046718	0.10574367869410847
3	lymph_nodes_examined_positive	0.022747588953995514	0.022747588953995517	0.12849126764810398
4	fgfr4	0.020374113608132176	0.02037411360813218	0.14886538125623616
5	age_at_diagnosis	0.01766436819768071	0.017664368197680712	0.16652974945391688
6	dlec1	0.013239740937690581	0.013239740937690585	0.17976949039160747
7	smad4	0.012373122866708934	0.012373122866708938	0.1921426132583164
8	atr	0.01169075210817834	0.011690752108178342	0.20383336536649477
9	tumor_stage_1.0	0.01166440053247307	0.011664400532473071	0.21549776589896785
10	pr_status	0.011309896789086633	0.011309896789086634	0.2268076626880545
11	xrcc3	0.011137891112453157	0.011137891112453158	0.23794555380050766
12	fam168a	0.010980317411734046	0.010980317411734048	0.24892587121224172
13	akt1	0.010828321099521202	0.010828321099521204	0.25975419231176294
14	pten	0.010636924010453243	0.010636924010453245	0.2703911163222162
15	anapc1	0.010312554840245196	0.010312554840245198	0.28070367116246137
16	kras	0.010093403147466198	0.0100934031474662	0.2907970743099276
17	mlh1	0.010061193016863462	0.010061193016863463	0.30085826732679105
18	epcam	0.00994014589120588	0.009940145891205883	0.31079841321799695
19	rad51	0.009829504589588268	0.00982950458958827	0.3206279178075852
20	er_status	0.00975136628522613	0.009751366285226132	0.33037928409281136
21	brca2	0.009653545912203153	0.009653545912203155	0.3400328300050145
22	brip1	0.009564201808079594	0.009564201808079596	0.3495970318130941
23	muc1	0.009542287892504999	0.009542287892505	0.3591393197055991
24	egfr	0.00954147711497437	0.009541477114974372	0.3686807968205735
25	ep300	0.009536141737125197	0.0095361417371252	0.37821693855769867
26	rhbdf2	0.009531935449080157	0.009531935449080159	0.3877488740067788
27	alk	0.009452447652631972	0.009452447652631974	0.3972013216594108
28	hras	0.00932364898830398	0.009323648988303982	0.40652497064771476
29	erbb2	0.009314343074725631	0.009314343074725633	0.4158393137224404
30	msmb	0.009075439354885093	0.009075439354885095	0.42491475307732546
31	rad51d	0.008999884474258403	0.008999884474258405	0.4339146375515839
32	pms2	0.008853360117525863	0.008853360117525865	0.44276799766910974
33	rnasel	0.008826553142269279	0.00882655314226928	0.451594550811379
34	brca1	0.008726938213940848	0.00872693821394085	0.46032148902531983
35	ar	0.008690649318742694	0.008690649318742695	0.4690121383440625
36	palb2	0.008678981016018428	0.00867898101601843	0.47769111936008096
37	nrg1	0.008603562053431107	0.008603562053431109	0.48629468141351206
38	apc	0.008534651435341246	0.008534651435341248	0.49482933284885333
39	tp53	0.008531248460529276	0.008531248460529278	0.5033605813093827
40	msh6	0.00852725487151725	0.008527254871517252	0.5118878361809
41	ctnnb1	0.008478006889028328	0.00847800688902833	0.5203658430699283
42	wwox	0.008476142510488682	0.008476142510488683	0.528841985580417
43	pole	0.008398019397147787	0.008398019397147788	0.5372400049775647
44	ercc6	0.008295741296126492	0.008295741296126494	0.5455357462736913
45	axin2	0.008294226868815454	0.008294226868815455	0.5538299731425067
46	akt2	0.00819560686524469	0.008195606865244691	0.5620255800077514
47	atm	0.008133781246875034	0.008133781246875036	0.5701593612546264
48	rabl3	0.008076375502283593	0.008076375502283595	0.57823573675691
49	fgfr3	0.008055060062309983	0.008055060062309985	0.5862907968192199
50	slc22a18	0.008039350184737105	0.008039350184737106	0.594330147003957
51	cdh1	0.00803779189349003	0.008037791893490031	0.6023679388974471
52	ephb2	0.007910359109446779	0.00791035910944678	0.6102782980068939
53	klf6	0.007887469427567977	0.007887469427567979	0.6181657674344619
54	mlh3	0.007884814034440732	0.007884814034440734	0.6260505814689027
55	cdkn2a	0.007872318180996714	0.007872318180996716	0.6339228996498995
56	nkx2-1	0.007871116442852441	0.007871116442852443	0.6417940160927519
57	rad51c	0.007859596510659298	0.0078595965106593	0.6496536126034111
58	nras	0.007817397152031372	0.007817397152031374	0.6574710097554425
59	hoxb13	0.007787336766631581	0.007787336766631583	0.665258346522074
60	smad3	0.00775437416344205	0.007754374163442052	0.6730127206855161
61	sash1	0.007719817142805981	0.007719817142805983	0.6807325378283221
62	3-gene_classifier_subtype_ER+/HER2- Low Prolif	0.007709199949670038	0.00770919994967004	0.6884417377779921
63	minpp1	0.007692762908180112	0.007692762908180114	0.6961345006861722
64	smad7	0.007684349738899608	0.00768434973889961	0.7038188504250719
65	pold1	0.007679784135123306	0.007679784135123308	0.7114986345601951
66	tcf7l2	0.007673886589389534	0.007673886589389536	0.7191725211495846
67	pdgfrb	0.007653781612979241	0.007653781612979243	0.7268263027625639
68	msh3	0.007555785826462538	0.00755578582646254	0.7343820885890264
69	akt3	0.007551225011490234	0.007551225011490236	0.7419333136005166
70	met	0.007549873827940695	0.007549873827940696	0.7494831874284573
71	ehbp1	0.007518142512536535	0.007518142512536537	0.7570013299409939
72	cdkn1b	0.007488611094863499	0.007488611094863501	0.7644899410358574
73	kit	0.007475337524485411	0.007475337524485413	0.7719652785603428
74	pam50_+_claudin-low_subtype_LumA	0.007468967891636913	0.0074689678916369144	0.7794342464519797
75	mutyh	0.007449727904578873	0.007449727904578875	0.7868839743565585
76	habp2	0.007415856755346973	0.007415856755346974	0.7942998311119055
77	pdgfrl	0.007393342960288461	0.007393342960288463	0.801693174072194
78	foxe1	0.00738119794697928	0.007381197946979281	0.8090743720191733
79	rnf43	0.00734755148277771	0.007347551482777712	0.816421923501951
80	mxi1	0.0073192310591053125	0.007319231059105314	0.8237411545610563
81	fh	0.007276420052364202	0.007276420052364204	0.8310175746134205
82	casp10	0.007252698507664753	0.007252698507664755	0.8382702731210853
83	opcml	0.007184261117005336	0.007184261117005338	0.8454545342380906
84	irf1	0.007167022137111209	0.007167022137111211	0.8526215563752018
85	galnt12	0.007151183096939592	0.007151183096939594	0.8597727394721414
86	pik3ca	0.0071382018278293114	0.007138201827829313	0.8669109412999707
87	ppm1d	0.007122755640179915	0.007122755640179917	0.8740336969401507
88	rb1	0.007075360710702488	0.00707536071070249	0.8811090576508531
89	prkn	0.007047783606665873	0.007047783606665875	0.888156841257519
90	chek2	0.006992913521218821	0.006992913521218822	0.8951497547787378
91	wdcp	0.0069797796944088926	0.006979779694408894	0.9021295344731467
92	srgap1	0.00692465682949356	0.006924656829493562	0.9090541913026403
93	rnf6	0.006918596025563098	0.006918596025563099	0.9159727873282034
94	braf	0.006882730233412042	0.006882730233412044	0.9228555175616154
95	msh2	0.006828683188536396	0.006828683188536398	0.9296842007501518
96	stk11	0.0067778384212064165	0.006777838421206418	0.9364620391713582
97	elac2	0.006759814653095072	0.006759814653095074	0.9432218538244532
98	mad1l1	0.006714532293798697	0.0067145322937986985	0.9499363861182519
99	tgfbr2	0.006572247366008635	0.006572247366008636	0.9565086334842605
100	palld	0.006507873537492417	0.006507873537492419	0.9630165070217529
101	chemotherapy	0.004611632879372214	0.004611632879372215	0.9676281399011251
102	mutation_count	0.003946896426311061	0.003946896426311062	0.9715750363274361
103	integrative_cluster	0.0037057044332509557	0.0037057044332509566	0.975280740760687
104	tumor_stage_3.0	0.0027284490063157613	0.0027284490063157617	0.9780091897670028
105	type_of_breast_surgery_missing	0.0023569596594350557	0.002356959659435056	0.9803661494264378
106	cohort	0.0020641559980445	0.0020641559980445006	0.9824303054244824
107	type_of_breast_surgery_MASTECTOMY	0.002041504822380008	0.0020415048223800083	0.9844718102468624
108	hormone_therapy	0.0017691301932631829	0.0017691301932631833	0.9862409404401256
109	tumor_stage_2.0	0.001673827754467711	0.0016738277544677115	0.9879147681945932
110	cellularity	0.0015539785300795197	0.0015539785300795201	0.9894687467246728
111	pam50_+_claudin-low_subtype_LumB	0.0012918424352171053	0.0012918424352171055	0.9907605891598898
112	her2_status	0.001254995387427695	0.0012549953874276952	0.9920155845473175
113	3-gene_classifier_subtype_HER2+	0.0009892266075691562	0.0009892266075691564	0.9930048111548867
114	pam50_+_claudin-low_subtype_Basal	0.0009738024025995404	0.0009738024025995406	0.9939786135574863
115	primary_tumor_laterality	0.0008872301329848508	0.000887230132984851	0.9948658436904712
116	3-gene_classifier_subtype_ER+/HER2- High Prolif	0.0007984920335453879	0.0007984920335453881	0.9956643357240166
117	radio_therapy	0.0006757156893115396	0.0006757156893115397	0.9963400514133282
118	pam50_+_claudin-low_subtype_Her2	0.0005744160531580287	0.0005744160531580288	0.9969144674664862
119	tumor_stage_missing	0.0005247038952534364	0.0005247038952534365	0.9974391713617395
120	oncotree_code_IDC	0.000514156122863946	0.0005141561228639461	0.9979533274846035
121	3-gene_classifier_subtype_ER-/HER2-	0.0003999397802433877	0.0003999397802433878	0.998353267264847
122	pam50_+_claudin-low_subtype_Normal	0.00038248964906984395	0.00038248964906984406	0.9987357569139168
123	3-gene_classifier_subtype_missing	0.000324238161468581	0.00032423816146858104	0.9990599950753853
124	oncotree_code_MDLC	0.0002834862877322704	0.00028348628773227047	0.9993434813631176
125	oncotree_code_BRCA	0.00023185233868958837	0.00023185233868958842	0.9995753337018072
126	tumor_stage_4.0	0.00021300840922354203	0.0002130084092235421	0.9997883421110307
127	oncotree_code_ILC	0.00016410176566655698	0.000164101765666557	0.9999524438766972
128	tumor_stage_0.0	3.082413825289805e-05	3.082413825289806e-05	0.9999832680149502
129	oncotree_code_IMMC	1.673198504975866e-05	1.6731985049758663e-05	1.0
130	oncotree_code_PBS	0.0	0.0	1.0
131	oncotree_code_BREAST	0.0	0.0	1.0
132	oncotree_code_MBC	0.0	0.0	1.0
