"name","feature_type","description","score"
"BCAR4","Gene","breast cancer anti-estrogen resistance 4 [Source:HGNC Symbol;Acc:HGNC:22170]  BREAST CANCER ANTIESTROGEN RESISTANCE 4; BCAR4 [*613746] (MIM gene record; description: BREAST CANCER ANTIESTROGEN RESISTANCE 4; BCAR4,) is an external reference matched to Gene ENSG00000262117","1.136122"
"PBOV1","Gene","prostate and breast cancer overexpressed 1 [Source:HGNC Symbol;Acc:HGNC:21079]  PROSTATE AND BREAST CANCER OVEREXPRESSED 1; PBOV1 [*605669] (MIM gene record; description: PROSTATE AND BREAST CANCER OVEREXPRESSED 1; PBOV1;;UROC28;;UC28,) is an external reference matched to Gene ENSG00000254440","1.1338458"
"novel gene","Gene","amphiphysin (Stiff-Man syndrome with breast cancer 128kDa autoantigen) (AMPH) pseudogene","1.1298845"
"novel gene","Gene","pseudogene similar to part of breast cancer antigen NY-BR-1 (NY-BR-1)","1.1256894"
"BRCA1","Gene","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]  BRCA1 DNA REPAIR-ASSOCIATED PROTEIN; BRCA1 [*113705] (MIM gene record; description: BRCA1 DNA REPAIR-ASSOCIATED PROTEIN; BRCA1;;BREAST CANCER 1 GENE,) is an external reference matched to Gene ENSG00000012048","1.1247965"
"BRMS1","Gene","BRMS1 transcriptional repressor and anoikis regulator [Source:HGNC Symbol;Acc:HGNC:17262]  BRMS1 TRANSCRIPTIONAL REPRESSOR AND ANOIKIS REGULATOR; BRMS1 [*606259] (MIM gene record; description: BRMS1 TRANSCRIPTIONAL REPRESSOR AND ANOIKIS REGULATOR; BRMS1;;BREAST CANCER METASTASIS SUPPRESSOR 1,) is an external reference matched to Gene ENSG00000174744","1.118348"
"BRCA2","Gene","BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000139618","1.1179577"
"BCAS1","Gene","brain enriched myelin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:974]  BRAIN-ENRICHED MYELIN-ASSOCIATED PROTEIN 1; BCAS1 [*602968] (MIM gene record; description: BRAIN-ENRICHED MYELIN-ASSOCIATED PROTEIN 1; BCAS1;;BREAST CARCINOMA AMPLIFIED SEQUENCE 1;;NOVEL AMPLIFIED IN BREAST CANCER 1; NABC1,) is an external reference matched to Gene ENSG00000064787","1.1178896"
"BRMS1L","Gene","BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]  BRMS1-LIKE TRANSCRIPTIONAL REPRESSOR; BRMS1L [*618514] (MIM gene record; description: BRMS1-LIKE TRANSCRIPTIONAL REPRESSOR; BRMS1L;;BREAST CANCER METASTASIS-SUPPRESSOR 1-LIKE PROTEIN;;BRMS1-LIKE PROTEIN p40,) is an external reference matched to Gene ENSG00000100916","1.1168754"
"BCAR1","Gene","BCAR1 scaffold protein, Cas family member [Source:HGNC Symbol;Acc:HGNC:971]  BCAR1 SCAFFOLD PROTEIN, CAS FAMILY MEMBER; BCAR1 [*602941] (MIM gene record; description: BCAR1 SCAFFOLD PROTEIN, CAS FAMILY MEMBER; BCAR1;;BREAST CANCER ANTIESTROGEN RESISTANCE 1;;CRK-ASSOCIATED SUBSTRATE; CRKAS;;p130CAS;;CAS;;CAS SCAFFOLD PROTEIN FAMILY, MEMBER 1; CASS1,) is an external reference matched to Gene ENSG00000050820","1.1144891"
"CDH1","Gene","cadherin 1 [Source:HGNC Symbol;Acc:HGNC:1748]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000039068","1.114282"
"HMMR","Gene","hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]  BREAST CANCER [#114480] (MIM morbid record; description: BREAST CANCER;;BREAST CANCER, FAMILIAL BREAST CANCER, FAMILIAL MALE, INCLUDED,) is an external reference matched to Gene ENSG00000072571","1.1131041"
